날짜,통화명,환율
2014-01-02,미 달러화 (USD),1055.3
2014-01-03,미 달러화 (USD),1050.4
2014-01-06,미 달러화 (USD),1054.1
2014-01-07,미 달러화 (USD),1062.2
2014-01-08,미 달러화 (USD),1067.9
2014-01-09,미 달러화 (USD),1066
2014-01-10,미 달러화 (USD),1064.8
2014-01-13,미 달러화 (USD),1062.8
2014-01-14,미 달러화 (USD),1056.5
2014-01-15,미 달러화 (USD),1058.4
2014-01-16,미 달러화 (USD),1062.5
2014-01-17,미 달러화 (USD),1064.2
2014-01-20,미 달러화 (USD),1061
2014-01-21,미 달러화 (USD),1063.9
2014-01-22,미 달러화 (USD),1064.2
2014-01-23,미 달러화 (USD),1068.4
2014-01-24,미 달러화 (USD),1071.9
2014-01-27,미 달러화 (USD),1077.2
2014-01-28,미 달러화 (USD),1084.1
2014-01-29,미 달러화 (USD),1079.2
2014-02-03,미 달러화 (USD),1071.1
2014-02-04,미 달러화 (USD),1082.2
2014-02-05,미 달러화 (USD),1086.1
2014-02-06,미 달러화 (USD),1079.5
2014-02-07,미 달러화 (USD),1076.4
2014-02-10,미 달러화 (USD),1075.1
2014-02-11,미 달러화 (USD),1071.9
2014-02-12,미 달러화 (USD),1072
2014-02-13,미 달러화 (USD),1064.7
2014-02-14,미 달러화 (USD),1063.9
2014-02-17,미 달러화 (USD),1061.9
2014-02-18,미 달러화 (USD),1060.5
2014-02-19,미 달러화 (USD),1064.1
2014-02-20,미 달러화 (USD),1067.1
2014-02-21,미 달러화 (USD),1071.9
2014-02-24,미 달러화 (USD),1073.1
2014-02-25,미 달러화 (USD),1076.3
2014-02-26,미 달러화 (USD),1070.6
2014-02-27,미 달러화 (USD),1069.9
2014-02-28,미 달러화 (USD),1067.7
2014-03-03,미 달러화 (USD),1066.2
2014-03-04,미 달러화 (USD),1071.9
2014-03-05,미 달러화 (USD),1072
2014-03-06,미 달러화 (USD),1070.6
2014-03-07,미 달러화 (USD),1067.4
2014-03-10,미 달러화 (USD),1062.6
2014-03-11,미 달러화 (USD),1065.9
2014-03-12,미 달러화 (USD),1064.8
2014-03-13,미 달러화 (USD),1069.2
2014-03-14,미 달러화 (USD),1067.4
2014-03-17,미 달러화 (USD),1072
2014-03-18,미 달러화 (USD),1069.9
2014-03-19,미 달러화 (USD),1067.9
2014-03-20,미 달러화 (USD),1070.7
2014-03-21,미 달러화 (USD),1075.3
2014-03-24,미 달러화 (USD),1080.3
2014-03-25,미 달러화 (USD),1079.7
2014-03-26,미 달러화 (USD),1078.2
2014-03-27,미 달러화 (USD),1075
2014-03-28,미 달러화 (USD),1072.8
2014-03-31,미 달러화 (USD),1068.8
2014-04-01,미 달러화 (USD),1066.1
2014-04-02,미 달러화 (USD),1060.5
2014-04-03,미 달러화 (USD),1057
2014-04-04,미 달러화 (USD),1058.1
2014-04-07,미 달러화 (USD),1056.1
2014-04-08,미 달러화 (USD),1053.4
2014-04-09,미 달러화 (USD),1053.6
2014-04-10,미 달러화 (USD),1043.2
2014-04-11,미 달러화 (USD),1036
2014-04-14,미 달러화 (USD),1037.5
2014-04-15,미 달러화 (USD),1038.9
2014-04-16,미 달러화 (USD),1041.2
2014-04-17,미 달러화 (USD),1041.3
2014-04-18,미 달러화 (USD),1037.1
2014-04-21,미 달러화 (USD),1037.2
2014-04-22,미 달러화 (USD),1037.9
2014-04-23,미 달러화 (USD),1039.6
2014-04-24,미 달러화 (USD),1039.5
2014-04-25,미 달러화 (USD),1038.3
2014-04-28,미 달러화 (USD),1038.9
2014-04-29,미 달러화 (USD),1037.1
2014-04-30,미 달러화 (USD),1031.7
2014-05-02,미 달러화 (USD),1032.2
2014-05-07,미 달러화 (USD),1031.2
2014-05-08,미 달러화 (USD),1025.6
2014-05-09,미 달러화 (USD),1023.5
2014-05-12,미 달러화 (USD),1023
2014-05-13,미 달러화 (USD),1025
2014-05-14,미 달러화 (USD),1022.9
2014-05-15,미 달러화 (USD),1024.6
2014-05-16,미 달러화 (USD),1026.5
2014-05-19,미 달러화 (USD),1025.8
2014-05-20,미 달러화 (USD),1022.7
2014-05-21,미 달러화 (USD),1024.1
2014-05-22,미 달러화 (USD),1026.7
2014-05-23,미 달러화 (USD),1025.2
2014-05-26,미 달러화 (USD),1024.3
2014-05-27,미 달러화 (USD),1023.9
2014-05-28,미 달러화 (USD),1023.4
2014-05-29,미 달러화 (USD),1022.6
2014-05-30,미 달러화 (USD),1021.6
2014-06-02,미 달러화 (USD),1020.4
2014-06-03,미 달러화 (USD),1023.6
2014-06-05,미 달러화 (USD),1024.3
2014-06-09,미 달러화 (USD),1022.6
2014-06-10,미 달러화 (USD),1017.4
2014-06-11,미 달러화 (USD),1016.5
2014-06-12,미 달러화 (USD),1016.5
2014-06-13,미 달러화 (USD),1017.5
2014-06-16,미 달러화 (USD),1018
2014-06-17,미 달러화 (USD),1019.5
2014-06-18,미 달러화 (USD),1022.1
2014-06-19,미 달러화 (USD),1023.1
2014-06-20,미 달러화 (USD),1018.3
2014-06-23,미 달러화 (USD),1019.6
2014-06-24,미 달러화 (USD),1018.4
2014-06-25,미 달러화 (USD),1018
2014-06-26,미 달러화 (USD),1020.6
2014-06-27,미 달러화 (USD),1017
2014-06-30,미 달러화 (USD),1014.4
2014-07-01,미 달러화 (USD),1012.1
2014-07-02,미 달러화 (USD),1011.8
2014-07-03,미 달러화 (USD),1009.8
2014-07-04,미 달러화 (USD),1009.6
2014-07-07,미 달러화 (USD),1008.9
2014-07-08,미 달러화 (USD),1009.9
2014-07-09,미 달러화 (USD),1011.2
2014-07-10,미 달러화 (USD),1012.2
2014-07-11,미 달러화 (USD),1011.9
2014-07-14,미 달러화 (USD),1018
2014-07-15,미 달러화 (USD),1018.5
2014-07-16,미 달러화 (USD),1023.7
2014-07-17,미 달러화 (USD),1032.7
2014-07-18,미 달러화 (USD),1029.6
2014-07-21,미 달러화 (USD),1031.9
2014-07-22,미 달러화 (USD),1027.5
2014-07-23,미 달러화 (USD),1024.6
2014-07-24,미 달러화 (USD),1022.8
2014-07-25,미 달러화 (USD),1028
2014-07-28,미 달러화 (USD),1029.4
2014-07-29,미 달러화 (USD),1025.2
2014-07-30,미 달러화 (USD),1024.7
2014-07-31,미 달러화 (USD),1024.3
2014-08-01,미 달러화 (USD),1026.2
2014-08-04,미 달러화 (USD),1033.7
2014-08-05,미 달러화 (USD),1031.7
2014-08-06,미 달러화 (USD),1030.8
2014-08-07,미 달러화 (USD),1034.3
2014-08-08,미 달러화 (USD),1034.4
2014-08-11,미 달러화 (USD),1037.4
2014-08-12,미 달러화 (USD),1030.6
2014-08-13,미 달러화 (USD),1028.3
2014-08-14,미 달러화 (USD),1028.1
2014-08-18,미 달러화 (USD),1024.9
2014-08-19,미 달러화 (USD),1017.7
2014-08-20,미 달러화 (USD),1018
2014-08-21,미 달러화 (USD),1020.9
2014-08-22,미 달러화 (USD),1023.9
2014-08-25,미 달러화 (USD),1019.5
2014-08-26,미 달러화 (USD),1020.6
2014-08-27,미 달러화 (USD),1018
2014-08-28,미 달러화 (USD),1014.6
2014-08-29,미 달러화 (USD),1013.6
2014-09-01,미 달러화 (USD),1014.9
2014-09-02,미 달러화 (USD),1014.3
2014-09-03,미 달러화 (USD),1015.6
2014-09-04,미 달러화 (USD),1018.9
2014-09-05,미 달러화 (USD),1018
2014-09-11,미 달러화 (USD),1024.6
2014-09-12,미 달러화 (USD),1034.4
2014-09-15,미 달러화 (USD),1038
2014-09-16,미 달러화 (USD),1038.9
2014-09-17,미 달러화 (USD),1035.2
2014-09-18,미 달러화 (USD),1033.9
2014-09-19,미 달러화 (USD),1041.5
2014-09-22,미 달러화 (USD),1044.9
2014-09-23,미 달러화 (USD),1040.7
2014-09-24,미 달러화 (USD),1042.1
2014-09-25,미 달러화 (USD),1039.8
2014-09-26,미 달러화 (USD),1042.6
2014-09-29,미 달러화 (USD),1042.7
2014-09-30,미 달러화 (USD),1050.6
2014-10-01,미 달러화 (USD),1054.7
2014-10-02,미 달러화 (USD),1062.1
2014-10-06,미 달러화 (USD),1061.1
2014-10-07,미 달러화 (USD),1069.7
2014-10-08,미 달러화 (USD),1066.5
2014-10-10,미 달러화 (USD),1072.3
2014-10-13,미 달러화 (USD),1071
2014-10-14,미 달러화 (USD),1069.1
2014-10-15,미 달러화 (USD),1063.5
2014-10-16,미 달러화 (USD),1065.8
2014-10-17,미 달러화 (USD),1059.9
2014-10-20,미 달러화 (USD),1062.7
2014-10-21,미 달러화 (USD),1060.4
2014-10-22,미 달러화 (USD),1054.5
2014-10-23,미 달러화 (USD),1053.7
2014-10-24,미 달러화 (USD),1055.4
2014-10-27,미 달러화 (USD),1059.3
2014-10-28,미 달러화 (USD),1052.6
2014-10-29,미 달러화 (USD),1050.6
2014-10-30,미 달러화 (USD),1047
2014-10-31,미 달러화 (USD),1054
2014-11-03,미 달러화 (USD),1058.8
2014-11-04,미 달러화 (USD),1075.1
2014-11-05,미 달러화 (USD),1079.9
2014-11-06,미 달러화 (USD),1078.7
2014-11-07,미 달러화 (USD),1089.1
2014-11-10,미 달러화 (USD),1092.5
2014-11-11,미 달러화 (USD),1085.2
2014-11-12,미 달러화 (USD),1089.9
2014-11-13,미 달러화 (USD),1098.5
2014-11-14,미 달러화 (USD),1097.5
2014-11-17,미 달러화 (USD),1099.6
2014-11-18,미 달러화 (USD),1097
2014-11-19,미 달러화 (USD),1098.9
2014-11-20,미 달러화 (USD),1104.2
2014-11-21,미 달러화 (USD),1113.1
2014-11-24,미 달러화 (USD),1110.9
2014-11-25,미 달러화 (USD),1112.2
2014-11-26,미 달러화 (USD),1112.8
2014-11-27,미 달러화 (USD),1107
2014-11-28,미 달러화 (USD),1101.1
2014-12-01,미 달러화 (USD),1105
2014-12-02,미 달러화 (USD),1116.2
2014-12-03,미 달러화 (USD),1106.8
2014-12-04,미 달러화 (USD),1114.4
2014-12-05,미 달러화 (USD),1115.8
2014-12-08,미 달러화 (USD),1113.2
2014-12-09,미 달러화 (USD),1118.3
2014-12-10,미 달러화 (USD),1112
2014-12-11,미 달러화 (USD),1104.5
2014-12-12,미 달러화 (USD),1098.1
2014-12-15,미 달러화 (USD),1103.9
2014-12-16,미 달러화 (USD),1103
2014-12-17,미 달러화 (USD),1092.4
2014-12-18,미 달러화 (USD),1088.1
2014-12-19,미 달러화 (USD),1103.2
2014-12-22,미 달러화 (USD),1101.3
2014-12-23,미 달러화 (USD),1097.3
2014-12-24,미 달러화 (USD),1100.5
2014-12-26,미 달러화 (USD),1104.3
2014-12-29,미 달러화 (USD),1099.5
2014-12-30,미 달러화 (USD),1098.2
2015-01-02,미 달러화 (USD),1099.2
2015-01-05,미 달러화 (USD),1102.6
2015-01-06,미 달러화 (USD),1108.7
2015-01-07,미 달러화 (USD),1103.9
2015-01-08,미 달러화 (USD),1099.7
2015-01-09,미 달러화 (USD),1098.5
2015-01-12,미 달러화 (USD),1092.2
2015-01-13,미 달러화 (USD),1083
2015-01-14,미 달러화 (USD),1081.5
2015-01-15,미 달러화 (USD),1079.9
2015-01-16,미 달러화 (USD),1084.1
2015-01-19,미 달러화 (USD),1077.3
2015-01-20,미 달러화 (USD),1079.8
2015-01-21,미 달러화 (USD),1084.4
2015-01-22,미 달러화 (USD),1086.8
2015-01-23,미 달러화 (USD),1085.3
2015-01-26,미 달러화 (USD),1084.1
2015-01-27,미 달러화 (USD),1079.3
2015-01-28,미 달러화 (USD),1082.1
2015-01-29,미 달러화 (USD),1082.9
2015-01-30,미 달러화 (USD),1090.8
2015-02-02,미 달러화 (USD),1095.9
2015-02-03,미 달러화 (USD),1101.2
2015-02-04,미 달러화 (USD),1098.3
2015-02-05,미 달러화 (USD),1089.2
2015-02-06,미 달러화 (USD),1089.2
2015-02-09,미 달러화 (USD),1088.3
2015-02-10,미 달러화 (USD),1097
2015-02-11,미 달러화 (USD),1090.8
2015-02-12,미 달러화 (USD),1096.9
2015-02-13,미 달러화 (USD),1107.5
2015-02-16,미 달러화 (USD),1098.4
2015-02-17,미 달러화 (USD),1098.7
2015-02-23,미 달러화 (USD),1101.3
2015-02-24,미 달러화 (USD),1109.8
2015-02-25,미 달러화 (USD),1108.6
2015-02-26,미 달러화 (USD),1102.5
2015-02-27,미 달러화 (USD),1099.2
2015-03-02,미 달러화 (USD),1099.5
2015-03-03,미 달러화 (USD),1102.5
2015-03-04,미 달러화 (USD),1100
2015-03-05,미 달러화 (USD),1096.5
2015-03-06,미 달러화 (USD),1100.1
2015-03-09,미 달러화 (USD),1099.5
2015-03-10,미 달러화 (USD),1110.3
2015-03-11,미 달러화 (USD),1119.5
2015-03-12,미 달러화 (USD),1126.6
2015-03-13,미 달러화 (USD),1130.9
2015-03-16,미 달러화 (USD),1125.6
2015-03-17,미 달러화 (USD),1133.9
2015-03-18,미 달러화 (USD),1130.1
2015-03-19,미 달러화 (USD),1126.6
2015-03-20,미 달러화 (USD),1114
2015-03-23,미 달러화 (USD),1121.7
2015-03-24,미 달러화 (USD),1115.9
2015-03-25,미 달러화 (USD),1107.1
2015-03-26,미 달러화 (USD),1102.7
2015-03-27,미 달러화 (USD),1104.2
2015-03-30,미 달러화 (USD),1104.3
2015-03-31,미 달러화 (USD),1105
2015-04-01,미 달러화 (USD),1109.4
2015-04-02,미 달러화 (USD),1103.8
2015-04-03,미 달러화 (USD),1098
2015-04-06,미 달러화 (USD),1094.6
2015-04-07,미 달러화 (USD),1086
2015-04-08,미 달러화 (USD),1089.7
2015-04-09,미 달러화 (USD),1093.4
2015-04-10,미 달러화 (USD),1093.9
2015-04-13,미 달러화 (USD),1094.6
2015-04-14,미 달러화 (USD),1096.6
2015-04-15,미 달러화 (USD),1096.8
2015-04-16,미 달러화 (USD),1096
2015-04-17,미 달러화 (USD),1089
2015-04-20,미 달러화 (USD),1085.1
2015-04-21,미 달러화 (USD),1082.7
2015-04-22,미 달러화 (USD),1083.5
2015-04-23,미 달러화 (USD),1081.8
2015-04-24,미 달러화 (USD),1083.2
2015-04-27,미 달러화 (USD),1079
2015-04-28,미 달러화 (USD),1074.5
2015-04-29,미 달러화 (USD),1070.9
2015-04-30,미 달러화 (USD),1068.1
2015-05-04,미 달러화 (USD),1069.5
2015-05-06,미 달러화 (USD),1080.5
2015-05-07,미 달러화 (USD),1081
2015-05-08,미 달러화 (USD),1086.6
2015-05-11,미 달러화 (USD),1091.3
2015-05-12,미 달러화 (USD),1089.9
2015-05-13,미 달러화 (USD),1096.2
2015-05-14,미 달러화 (USD),1094.9
2015-05-15,미 달러화 (USD),1093.6
2015-05-18,미 달러화 (USD),1089.2
2015-05-19,미 달러화 (USD),1085.5
2015-05-20,미 달러화 (USD),1090.9
2015-05-21,미 달러화 (USD),1095.2
2015-05-22,미 달러화 (USD),1094.4
2015-05-26,미 달러화 (USD),1090.8
2015-05-27,미 달러화 (USD),1098.4
2015-05-28,미 달러화 (USD),1107
2015-05-29,미 달러화 (USD),1108
2015-06-01,미 달러화 (USD),1107.6
2015-06-02,미 달러화 (USD),1111.6
2015-06-03,미 달러화 (USD),1114.5
2015-06-04,미 달러화 (USD),1106
2015-06-05,미 달러화 (USD),1109.9
2015-06-08,미 달러화 (USD),1112.1
2015-06-09,미 달러화 (USD),1121.5
2015-06-10,미 달러화 (USD),1119.3
2015-06-11,미 달러화 (USD),1117.3
2015-06-12,미 달러화 (USD),1110.4
2015-06-15,미 달러화 (USD),1111.9
2015-06-16,미 달러화 (USD),1116.2
2015-06-17,미 달러화 (USD),1117.3
2015-06-18,미 달러화 (USD),1117.6
2015-06-19,미 달러화 (USD),1109.9
2015-06-22,미 달러화 (USD),1104
2015-06-23,미 달러화 (USD),1099.9
2015-06-24,미 달러화 (USD),1104.1
2015-06-25,미 달러화 (USD),1108.4
2015-06-26,미 달러화 (USD),1109.6
2015-06-29,미 달러화 (USD),1115.1
2015-06-30,미 달러화 (USD),1124.1
2015-07-01,미 달러화 (USD),1118.3
2015-07-02,미 달러화 (USD),1118.5
2015-07-03,미 달러화 (USD),1123.2
2015-07-06,미 달러화 (USD),1120.1
2015-07-07,미 달러화 (USD),1126.3
2015-07-08,미 달러화 (USD),1129.6
2015-07-09,미 달러화 (USD),1135.7
2015-07-10,미 달러화 (USD),1136.2
2015-07-13,미 달러화 (USD),1130
2015-07-14,미 달러화 (USD),1131.5
2015-07-15,미 달러화 (USD),1139.4
2015-07-16,미 달러화 (USD),1141.5
2015-07-17,미 달러화 (USD),1148.4
2015-07-20,미 달러화 (USD),1146.3
2015-07-21,미 달러화 (USD),1151.9
2015-07-22,미 달러화 (USD),1158.4
2015-07-23,미 달러화 (USD),1152.6
2015-07-24,미 달러화 (USD),1162.3
2015-07-27,미 달러화 (USD),1164.6
2015-07-28,미 달러화 (USD),1168.9
2015-07-29,미 달러화 (USD),1166.2
2015-07-30,미 달러화 (USD),1157.9
2015-07-31,미 달러화 (USD),1166.3
2015-08-03,미 달러화 (USD),1169.4
2015-08-04,미 달러화 (USD),1165.2
2015-08-05,미 달러화 (USD),1169.3
2015-08-06,미 달러화 (USD),1172.1
2015-08-07,미 달러화 (USD),1170.2
2015-08-10,미 달러화 (USD),1164.3
2015-08-11,미 달러화 (USD),1165.3
2015-08-12,미 달러화 (USD),1170.4
2015-08-13,미 달러화 (USD),1190.3
2015-08-17,미 달러화 (USD),1174.2
2015-08-18,미 달러화 (USD),1182.2
2015-08-19,미 달러화 (USD),1184.7
2015-08-20,미 달러화 (USD),1185.1
2015-08-21,미 달러화 (USD),1185.1
2015-08-24,미 달러화 (USD),1192
2015-08-25,미 달러화 (USD),1198.1
2015-08-26,미 달러화 (USD),1194.6
2015-08-27,미 달러화 (USD),1188.9
